email,class code,
LOU0003,"09BYT-A5,09ENG-B,09FA-B,09GEO-B,09HIS-B,09MAE-1,09PEd-B,09SCE-1,093DM-1,09DRA-1,09FOO-5,09MUSb-1"
HOD0005,"09BYT-A5,09ENG-B,09FA-B,09GEO-B,09HIS-B,09MAT-1a,09PEd-B,09SCI-1a,09FRE-1,09DRA-3,09MUSa-1"
HOD0006,"09BYT-A4,09ENG-F,09FA-F,09GEO-F,09HIS-F,09MAT-F,09PEd-F,09SCI-F,09LIT-1,09VIS-2,093DM-3,09MSL-4"
HOD0007,"07ART-G,07ENG-G,07FA-G,07FOO-G,07GEO-G,07GMN-G,07HIS-G,07ICT-G,07MAT-2a,07MEB-Bnd1,07MUS-G,07PEd-G,07SCI-2a,07SPT-1-CricketM1"
WEB0010,"08ACE-C,08ENG-C,08FA-C,08GEO-C,08GMN-C,08HIS-C,08MAE-1,08MES-NonStr,08MUS-C,08PEd-C,08SCE-1,08V3D-C,08Spt-1-CricketM1"
WEB0011,"07ART-K,07ENG-K,07FA-K,07FOO-K,07GEO-K,07GMN-K,07HIS-K,07ICT-K,07MAT-K,07MUS-K,07PED-K,07SCI-K,07SPT-1-TennisM1"
TOP0003,"12MFu-1,12BIO-1,12BUS-2,12ENG-5,12MMe-5"
HAL0021,"11FA-D,11ENG-3,11PSY-2,11LEG-2,11MGF-3,11LIT-1,11HIS-1"
POL0007,"12PSY-2,12ENG-3,12MFu-3,12LEG-2,12BUS-3"
TOP0006,"08ACE-H,08ENG-H,08FA-H,08FRE-H,08GEO-H,08HIS-H,08MAT-2a,08MEB-NonBnd2,08MUS-H,08PEd-H,08SCI-2a,08V3D-H,08Spt-1-LawnBowls"
POL0009,"12MMe-2,12BUS-2,12CHM-2,12ENG-7,12LOF-1"
ROA0001,"09BYT-A6,09ENG-F,09FA-F,09GEO-F,09HIS-F,09MAT-F,09PEd-F,09SCI-F,09FRE-1,09CTc-3,09MSL-5"
SKA0002,"11FA-J,12MMe-1,11MGM-2,12BIO-2,11ENG-10,11LOF-1"
VOR0005,"11FA-L,11MMe-1,11ENG-4,11LEG-2,11CHM-4,12BIO-4,11ECO-2"
